Wavelength,Bare_core,Core_shell
400.000000,3.502616,3.693272
410.000000,3.928533,3.841903
420.000000,4.274162,3.990442
430.000000,4.242279,4.120564
440.000000,4.024145,4.234281
450.000000,3.968868,4.342117
460.000000,4.090040,4.447938
470.000000,4.306143,4.546774
480.000000,4.540735,4.629042
490.000000,4.702916,4.697608
500.000000,4.708163,4.771223
510.000000,4.566187,4.888094
520.000000,4.391273,5.085036
530.000000,4.281887,5.366892
540.000000,4.259897,5.701578
550.000000,4.304420,5.941891
560.000000,4.386258,6.033079
570.000000,4.477963,6.124145
580.000000,4.553555,6.300942
590.000000,4.588909,6.506006
600.000000,4.566713,6.645842
610.000000,4.484054,6.657710
620.000000,4.356000,6.545601
630.000000,4.209764,6.374999
640.000000,4.072608,6.233596
650.000000,3.962567,6.172623
660.000000,3.886288,6.190375
670.000000,3.841965,6.261199
680.000000,3.823391,6.354664
690.000000,3.822815,6.444475
700.000000,3.832539,6.505578
710.000000,3.845481,6.520062
720.000000,3.855412,6.477221
730.000000,3.856952,6.376524
740.000000,3.845776,6.230746
750.000000,3.818847,6.059076
